time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1669019962.64153385,0.00336207,0.00023913,0.00000586,6253.00000000,0.00529447,0.000000,0.000000
1669019962.67609406,0.00336518,0.00028338,0.00000464,6263.00000000,0.00508278,0.000000,0.000000
1669019962.70873404,0.00336719,0.00027905,0.00000338,6269.00000000,0.00448603,0.000000,0.000000
1669019962.74233389,0.00336510,0.00021716,0.00000295,6286.00000000,0.00220316,0.000000,0.000000
1669019962.77497387,0.00336784,0.00031997,0.00000487,6293.00000000,0.00489058,0.000000,0.000000
1669019962.80953383,0.00336583,0.00013666,0.00000247,6299.00000000,0.00224821,0.000000,0.000000
1669019962.84217405,0.00337348,0.00033786,0.00000670,6301.00000000,0.00765087,0.000000,0.000000
1669019962.87481403,0.00337045,0.00009952,0.00000173,6316.00000000,0.00167239,0.000000,0.000000
1669019962.90937400,0.00337650,0.00040302,0.00000503,6323.00000000,0.00676818,0.000000,0.000000
1669019962.94201398,0.00337426,0.00012034,0.00000282,6329.00000000,0.00211725,0.000000,0.000000
1669019962.97561407,0.00337400,0.00019199,0.00000276,6334.00000000,0.00322614,0.000000,0.000000
1669019963.00825405,0.00337272,0.00017149,0.00000251,6346.00000000,0.00265227,0.000000,0.000000
1669019963.04281402,0.00337016,0.00011082,0.00000178,6355.00000000,0.00192086,0.000000,0.000000
1669019963.07545400,0.00337005,0.00020592,0.00000365,6358.00000000,0.00330865,0.000000,0.000000
1669019963.10813117,0.00337624,0.00032601,0.00000575,6368.00000000,0.00688753,0.000000,0.000000
1669019963.14269114,0.00337369,0.00011636,0.00000212,6377.00000000,0.00192522,0.000000,0.000000
1669019963.17533112,0.00337202,0.00012856,0.00000315,6381.00000000,0.00242004,0.000000,0.000000
1669019963.20893097,0.00337431,0.00030667,0.00000349,6384.00000000,0.00468110,0.000000,0.000000
1669019963.24157119,0.00337049,0.00007893,0.00000165,6387.00000000,0.00118997,0.000000,0.000000
1669019963.27613115,0.00337213,0.00027520,0.00000400,6392.00000000,0.00430826,0.000000,0.000000
1669019963.30877113,0.00337428,0.00024787,0.00000453,6409.00000000,0.00460815,0.000000,0.000000
1669019963.34141111,0.00337447,0.00020881,0.00000308,6420.00000000,0.00348301,0.000000,0.000000
1669019963.37597108,0.00338014,0.00050828,0.00000697,6432.00000000,0.00664293,0.000000,0.000000
1669019963.40861106,0.00338196,0.00023915,0.00000356,6445.00000000,0.00442759,0.000000,0.000000
1669019963.44221115,0.00338050,0.00019622,0.00000327,6460.00000000,0.00253998,0.000000,0.000000
1669019963.47485113,0.00337860,0.00014261,0.00000232,6466.00000000,0.00227985,0.000000,0.000000
1669019963.50941110,0.00338389,0.00034821,0.00000599,6470.00000000,0.00644853,0.000000,0.000000
1669019963.54205108,0.00338249,0.00015342,0.00000249,6478.00000000,0.00256660,0.000000,0.000000
1669019963.57565117,0.00338381,0.00021394,0.00000432,6484.00000000,0.00415204,0.000000,0.000000
1669019963.60829115,0.00338107,0.00010294,0.00000204,6485.00000000,0.00178568,0.000000,0.000000
1669019963.64285111,0.00338693,0.00035090,0.00000752,6490.00000000,0.00680228,0.000000,0.000000
1669019963.67549109,0.00338359,0.00009409,0.00000166,6504.00000000,0.00143480,0.000000,0.000000
1669019963.70813107,0.00338222,0.00017861,0.00000181,6512.00000000,0.00258251,0.000000,0.000000
1669019963.74269104,0.00338169,0.00018295,0.00000467,6517.00000000,0.00307099,0.000000,0.000000
1669019963.77533102,0.00338458,0.00032133,0.00000421,6517.00000000,0.00508086,0.000000,0.000000
1669019963.80893111,0.00338342,0.00017487,0.00000276,6521.00000000,0.00270251,0.000000,0.000000
1669019963.84157109,0.00338394,0.00034266,0.00000316,6529.00000000,0.00368518,0.000000,0.000000
1669019963.87613106,0.00338525,0.00043796,0.00000430,6541.00000000,0.00416309,0.000000,0.000000
1669019963.90877104,0.00338937,0.00030203,0.00000492,6554.00000000,0.00582344,0.000000,0.000000
1669019963.94141102,0.00338640,0.00011486,0.00000175,6553.00000000,0.00162664,0.000000,0.000000
1669019963.97597098,0.00338976,0.00032154,0.00000575,6565.00000000,0.00538129,0.000000,0.000000
1669019964.00861096,0.00339018,0.00022780,0.00000285,6567.00000000,0.00364090,0.000000,0.000000
1669019964.04221106,0.00339250,0.00029187,0.00000530,6576.00000000,0.00477062,0.000000,0.000000
1669019964.07485104,0.00339655,0.00023318,0.00000540,6582.00000000,0.00581476,0.000000,0.000000
1669019964.10935163,0.00339637,0.00032892,0.00000365,6590.00000000,0.00328495,0.000000,0.000000
1669019964.14199162,0.00339466,0.00014298,0.00000215,6594.00000000,0.00237071,0.000000,0.000000
1669019964.17559171,0.00339301,0.00036717,0.00000252,6602.00000000,0.00240795,0.000000,0.000000
1669019964.20823169,0.00339513,0.00030594,0.00000355,6606.00000000,0.00466590,0.000000,0.000000
1669019964.24279165,0.00339629,0.00048942,0.00000521,6611.00000000,0.00409100,0.000000,0.000000
1669019964.27543163,0.00339971,0.00026817,0.00000456,6617.00000000,0.00546046,0.000000,0.000000
1669019964.30903172,0.00339996,0.00023169,0.00000376,6625.00000000,0.00355014,0.000000,0.000000
1669019964.34167171,0.00340273,0.00021711,0.00000529,6623.00000000,0.00507948,0.000000,0.000000
1669019964.37623167,0.00339991,0.00011774,0.00000182,6629.00000000,0.00169175,0.000000,0.000000
1669019964.40887165,0.00339764,0.00013000,0.00000177,6634.00000000,0.00202130,0.000000,0.000000
1669019964.44151163,0.00339865,0.00024970,0.00000420,6635.00000000,0.00401086,0.000000,0.000000
1669019964.47607160,0.00339733,0.00015288,0.00000298,6635.00000000,0.00259641,0.000000,0.000000
1669019964.50871158,0.00339749,0.00022753,0.00000284,6636.00000000,0.00349296,0.000000,0.000000
1669019964.54231167,0.00339576,0.00014448,0.00000254,6637.00000000,0.00234314,0.000000,0.000000
1669019964.57495165,0.00339787,0.00024023,0.00000434,6641.00000000,0.00468781,0.000000,0.000000
1669019964.60951161,0.00339615,0.00014344,0.00000245,6647.00000000,0.00234071,0.000000,0.000000
1669019964.64215159,0.00339385,0.00012035,0.00000192,6654.00000000,0.00198396,0.000000,0.000000
1669019964.67479157,0.00339417,0.00020936,0.00000393,6652.00000000,0.00359253,0.000000,0.000000
1669019964.70935178,0.00339851,0.00033393,0.00000503,6660.00000000,0.00606855,0.000000,0.000000
1669019964.74199176,0.00339591,0.00012497,0.00000206,6664.00000000,0.00179143,0.000000,0.000000
1669019964.77559161,0.00340771,0.00054884,0.00000950,6670.00000000,0.01069106,0.000000,0.000000
1669019964.80823159,0.00340666,0.00015903,0.00000257,6674.00000000,0.00275809,0.000000,0.000000
